iteration,step,policy_loss,value_loss,rolling5
1,80,5.2797,0.7361,5.279700
2,160,5.2606,0.6694,5.270150
3,240,5.2545,0.6817,5.264933
4,320,5.2507,0.6618,5.261375
5,400,5.2471,0.6689,5.258520
6,480,5.2476,0.6845,5.252100
7,680,5.2345,0.3978,5.246880
8,880,5.2372,0.3847,5.243420
9,1080,5.2223,0.4543,5.237740
10,1280,5.2182,0.4834,5.231960
11,1480,5.2164,0.4812,5.225720
12,1680,5.2142,0.5388,5.221660
13,1880,5.1849,0.4078,5.211200
14,2080,5.126,0.4379,5.191940
15,2280,5.0781,0.4605,5.163920
16,2480,5.0282,0.4854,5.126280
17,2680,4.9941,0.5033,5.082260
18,2880,4.9548,0.5143,5.036240
19,3080,4.9238,0.524,4.995800
20,3280,4.9084,0.5231,4.961860
21,3480,4.8706,0.5376,4.930340
22,3680,4.8574,0.5653,4.903000
23,3880,4.8294,0.561,4.877920
24,4080,4.8175,0.5696,4.856660
25,4280,4.7952,0.5865,4.834020
26,4480,4.7831,0.5902,4.816520
27,4680,4.78,0.5973,4.801040
28,4880,4.7673,0.6038,4.788620
29,5080,4.7453,0.6131,4.774180
30,5280,4.7365,0.6098,4.762440
31,5480,4.7293,0.6169,4.751680
32,5680,4.7142,0.6109,4.738520
33,5880,4.707,0.5997,4.726460
34,6080,4.704,0.6278,4.718200
35,6280,4.6808,0.6258,4.707060
36,6480,4.6627,0.6386,4.693740
37,6680,4.6517,0.6619,4.681240
38,6880,4.6273,0.6744,4.665300
39,7080,4.6922,0.5641,4.662940
40,7280,4.6729,0.5719,4.661360
41,7480,4.6468,0.5723,4.658180
42,7680,4.6293,0.5797,4.653700
43,7880,4.6143,0.5887,4.651100
44,8080,4.5763,0.6104,4.627920
45,8280,4.5694,0.6179,4.607220
46,8480,4.5485,0.6333,4.587560
47,8680,4.6441,0.542,4.590520
48,8880,4.6245,0.5471,4.592560
49,9080,4.5747,0.5562,4.592240
50,9280,4.5626,0.5745,4.590880
51,9480,4.6257,0.5264,4.606320
52,9680,4.6093,0.5318,4.599360
53,9880,4.5698,0.5382,4.588420
54,10080,4.5538,0.5479,4.584240
55,10280,4.5243,0.5501,4.576580
56,10480,4.6294,0.4911,4.577320
57,10680,4.6023,0.4944,4.575920
58,10880,4.565,0.5054,4.574960
59,11080,4.4298,0.5844,4.550160
60,11280,4.3513,0.6038,4.515560
61,11480,4.2961,0.6285,4.448900
62,11680,4.2427,0.6532,4.376980
